parameter,mean,sd,q05,q95,rhat,ess
"alpha[1,1]",0.011,0.005,0.002,0.019,1,8131
"alpha[2,1]",0.009,0.004,0.002,0.016,1,7239
"alpha[3,1]",0,0.004,-0.007,0.008,1,6528
"alpha[1,2]",0.081,0.048,-0,0.161,1,7896
"alpha[2,2]",-0.116,0.062,-0.217,-0.013,1.001,5908
"alpha[3,2]",0.097,0.068,-0.014,0.209,1,6995
"alpha[1,3]",-0.018,0.008,-0.031,-0.005,1,6858
"alpha[2,3]",-0.041,0.007,-0.053,-0.03,1,4361
"alpha[3,3]",-0.048,0.01,-0.065,-0.031,1.001,5480
"alpha[1,4]",0.063,0.077,-0.062,0.191,1,6926
"alpha[2,4]",0.222,0.107,0.047,0.395,1,3962
"alpha[3,4]",0.139,0.148,-0.105,0.382,1,5128
"mu_beta[1,1]",-0.856,0.039,-0.922,-0.791,1,8101
"mu_beta[2,1]",0.031,0.05,-0.053,0.114,1,6081
"mu_beta[3,1]",0.677,0.048,0.598,0.756,1.001,6969
"mu_beta[1,2]",0.019,0.017,-0.009,0.047,1.001,8755
"mu_beta[2,2]",0.153,0.02,0.12,0.185,1,8295
"mu_beta[3,2]",0.307,0.033,0.253,0.361,1,7966
"mu_beta[1,3]",6.7,0.056,6.606,6.792,1,6899
"mu_beta[2,3]",5.86,0.086,5.716,6.001,1,4079
"mu_beta[3,3]",5.296,0.106,5.123,5.467,1,5444
"mu_beta[1,4]",-0.063,0.009,-0.078,-0.048,1.001,8220
"mu_beta[2,4]",-0.174,0.009,-0.19,-0.16,1,8078
"mu_beta[3,4]",-0.252,0.016,-0.279,-0.225,1,8632
"sigma_beta[1,1]",0.237,0.033,0.183,0.291,1,5501
"sigma_beta[2,1]",0.449,0.028,0.404,0.496,1,6086
"sigma_beta[3,1]",0.315,0.032,0.264,0.368,1,4320
"sigma_beta[1,2]",0.056,0.028,0.01,0.104,1.006,1134
"sigma_beta[2,2]",0.208,0.023,0.17,0.246,1.001,2886
"sigma_beta[3,2]",0.265,0.035,0.208,0.323,1,4347
"sigma_beta[1,3]",0.536,0.029,0.491,0.585,1,6020
"sigma_beta[2,3]",0.924,0.037,0.866,0.987,1,4468
"sigma_beta[3,3]",0.876,0.055,0.789,0.971,1,4989
"sigma_beta[1,4]",0.084,0.009,0.069,0.099,1,5963
"sigma_beta[2,4]",0.114,0.009,0.099,0.129,1,6867
"sigma_beta[3,4]",0.084,0.031,0.026,0.129,1.002,2540
"sigma_epsilon[1,1]",0.441,0.015,0.417,0.465,1,6162
"sigma_epsilon[2,1]",0.409,0.011,0.392,0.426,1,4425
"sigma_epsilon[3,1]",0.274,0.015,0.25,0.299,1,3318
"sigma_epsilon[1,2]",0.154,0.006,0.145,0.163,1,6378
"sigma_epsilon[2,2]",0.163,0.004,0.156,0.171,1,6942
"sigma_epsilon[3,2]",0.174,0.01,0.157,0.192,1.001,3130
"L_Rho_beta[1,2,1]",0.05,0.349,-0.502,0.653,1.002,4580
"L_Rho_beta[2,2,1]",0.517,0.137,0.286,0.744,1.002,2286
"L_Rho_beta[3,2,1]",0.473,0.168,0.195,0.756,1,2851
"L_Rho_beta[1,3,1]",0.212,0.12,0.012,0.41,1.004,873
"L_Rho_beta[2,3,1]",-0.305,0.065,-0.41,-0.197,1.001,1478
"L_Rho_beta[3,3,1]",-0.461,0.09,-0.602,-0.308,1.001,1999
"L_Rho_beta[1,4,1]",-0.003,0.185,-0.303,0.307,1.002,1738
"L_Rho_beta[2,4,1]",-0.457,0.091,-0.602,-0.305,1.001,3848
"L_Rho_beta[3,4,1]",-0.174,0.254,-0.61,0.226,1,5765
"L_Rho_beta[1,2,2]",0.931,0.098,0.727,1,1.001,5947
"L_Rho_beta[2,2,2]",0.84,0.089,0.668,0.958,1.002,2286
"L_Rho_beta[3,2,2]",0.859,0.104,0.654,0.981,1,2838
"L_Rho_beta[1,3,2]",-0.129,0.302,-0.652,0.355,1.016,256
"L_Rho_beta[2,3,2]",-0.282,0.12,-0.472,-0.084,1.004,474
"L_Rho_beta[3,3,2]",0.065,0.171,-0.197,0.351,1.003,882
"L_Rho_beta[1,4,2]",-0.525,0.327,-0.914,0.117,1.003,720
"L_Rho_beta[2,4,2]",-0.667,0.127,-0.858,-0.443,1.003,1862
"L_Rho_beta[3,4,2]",-0.166,0.309,-0.668,0.367,1,3972
"L_Rho_beta[1,3,3]",0.906,0.106,0.68,0.993,1.011,441
"L_Rho_beta[2,3,3]",0.899,0.035,0.837,0.945,1.003,722
"L_Rho_beta[3,3,3]",0.861,0.068,0.746,0.942,1.001,1235
"L_Rho_beta[1,4,3]",0.212,0.229,-0.205,0.554,1.004,550
"L_Rho_beta[2,4,3]",-0.052,0.094,-0.211,0.095,1,1276
"L_Rho_beta[3,4,3]",0.125,0.247,-0.253,0.557,1,4609
"L_Rho_beta[1,4,4]",0.662,0.218,0.24,0.934,1,1299
"L_Rho_beta[2,4,4]",0.539,0.141,0.26,0.728,1.002,1699
"L_Rho_beta[3,4,4]",0.822,0.174,0.429,0.983,1.001,3296
"L_Rho_epsilon[1,2,1]",0.013,0.049,-0.069,0.093,1.002,4003
"L_Rho_epsilon[2,2,1]",0.01,0.037,-0.052,0.071,1.001,5857
"L_Rho_epsilon[3,2,1]",-0.002,0.075,-0.125,0.121,1,5998
"L_Rho_epsilon[1,2,2]",0.999,0.002,0.995,1,1,7386
"L_Rho_epsilon[2,2,2]",0.999,0.001,0.997,1,1,7422
"L_Rho_epsilon[3,2,2]",0.997,0.004,0.989,1,1,7682
"z[1,1]",0.355,0.652,-0.717,1.427,1,8723
"z[2,1]",0.364,0.652,-0.713,1.426,1,7416
"z[3,1]",-0.17,0.748,-1.396,1.069,1,6357
"z[4,1]",0.508,0.71,-0.664,1.675,1.001,8139
"z[5,1]",-0.838,0.657,-1.92,0.243,1.001,5864
"z[6,1]",-0.291,0.647,-1.353,0.78,1,8101
"z[7,1]",-1.202,0.735,-2.415,0.009,1,8387
"z[8,1]",-0.21,0.79,-1.51,1.079,1,8183
"z[9,1]",0.744,0.825,-0.627,2.066,1,2301
"z[10,1]",-1.162,0.666,-2.228,-0.043,1,8890
"z[11,1]",0.332,0.698,-0.811,1.489,1.001,6732
"z[12,1]",-0.786,0.725,-1.968,0.418,1.001,4059
"z[13,1]",1.044,0.744,-0.179,2.247,1,8617
"z[14,1]",-0.43,0.688,-1.561,0.707,1,7904
"z[15,1]",0.052,0.685,-1.069,1.187,1,8304
"z[16,1]",0.652,0.689,-0.48,1.774,1.001,7354
"z[17,1]",1.258,0.81,-0.083,2.59,1,8822
"z[18,1]",-0.253,0.766,-1.508,1.002,1.001,4717
"z[19,1]",0.182,0.736,-1.029,1.363,1.001,5286
"z[20,1]",0.53,0.733,-0.683,1.735,1.001,8257
"z[21,1]",0.107,0.783,-1.181,1.384,1.001,8987
"z[22,1]",-0.931,0.723,-2.129,0.25,1.001,9018
"z[23,1]",-0.171,0.728,-1.372,1.031,1,8028
"z[24,1]",-0.129,0.66,-1.202,0.958,1,6670
"z[25,1]",-0.744,0.723,-1.915,0.446,1.001,4576
"z[26,1]",-0.6,0.721,-1.793,0.579,1.001,8923
"z[27,1]",0.937,0.7,-0.219,2.084,1,8749
"z[28,1]",-0.143,0.699,-1.285,1.007,1,7302
"z[29,1]",0.803,0.795,-0.513,2.103,1,9056
"z[30,1]",0.976,0.747,-0.23,2.225,1.001,5888
"z[31,1]",-0.083,0.649,-1.155,0.968,1,7877
"z[32,1]",1.611,0.676,0.504,2.719,1,8955
"z[33,1]",-0.713,0.675,-1.825,0.394,1,9462
"z[34,1]",1.201,0.802,-0.113,2.512,1,7908
"z[35,1]",-0.01,0.66,-1.095,1.049,1,7047
"z[36,1]",0.528,0.798,-0.78,1.833,1.001,8301
"z[37,1]",0.232,0.697,-0.931,1.359,1.001,8549
"z[38,1]",0.321,0.766,-0.929,1.578,1.001,5743
"z[39,1]",-0.064,0.695,-1.191,1.094,1.001,6772
"z[40,1]",0.497,0.672,-0.612,1.615,1,9181
"z[41,1]",-0.35,0.737,-1.548,0.895,1,7599
"z[42,1]",-0.893,0.657,-1.962,0.186,1.001,5839
"z[43,1]",-0.126,0.723,-1.305,1.045,1.001,5659
"z[44,1]",-0.136,0.723,-1.349,1.054,1.002,8967
"z[45,1]",-0.273,0.786,-1.583,1.01,1,8948
"z[46,1]",-0.093,0.662,-1.18,0.996,1,8206
"z[47,1]",1.072,0.719,-0.113,2.247,1,4510
"z[48,1]",-0.363,0.737,-1.577,0.859,1,8178
"z[49,1]",0.039,0.68,-1.068,1.164,1.001,4545
"z[50,1]",-0.399,0.686,-1.526,0.736,1,9538
"z[51,1]",-0.83,0.692,-1.954,0.316,1.001,7595
"z[52,1]",-1.015,0.69,-2.148,0.128,1,8159
"z[53,1]",-0.917,0.644,-1.967,0.146,1,7980
"z[54,1]",-0.641,0.689,-1.766,0.482,1,8595
"z[55,1]",-1.252,0.694,-2.381,-0.124,1.001,7571
"z[56,1]",0.114,0.672,-0.999,1.233,1,8663
"z[57,1]",-0.304,0.724,-1.513,0.879,1.001,5120
"z[58,1]",-0.643,0.651,-1.708,0.388,1,8311
"z[59,1]",-0.459,0.653,-1.54,0.609,1,8600
"z[60,1]",-0.402,0.689,-1.514,0.757,1,8242
"z[61,1]",0.068,0.661,-1.037,1.155,1.001,7545
"z[62,1]",1.087,0.704,-0.065,2.232,1,8123
"z[63,1]",0.05,0.651,-1.018,1.127,1,7899
"z[64,1]",-0.296,0.687,-1.419,0.842,1.001,4009
"z[65,1]",-0.691,0.654,-1.76,0.389,1,6315
"z[66,1]",-0.635,0.666,-1.746,0.452,1,5531
"z[67,1]",-0.257,0.739,-1.482,0.945,1,8853
"z[68,1]",0.236,0.784,-1.067,1.505,1,5526
"z[69,1]",-1.098,0.681,-2.217,0.026,1,8441
"z[70,1]",0.204,0.685,-0.939,1.318,1.001,5165
"z[71,1]",0.374,0.65,-0.701,1.433,1,8121
"z[72,1]",1.611,0.727,0.424,2.814,1,8367
"z[73,1]",0.027,0.65,-1.061,1.075,1.001,8539
"z[74,1]",1.953,0.674,0.851,3.08,1.001,4996
"z[75,1]",0.478,0.695,-0.65,1.622,1,3738
"z[76,1]",0.189,0.688,-0.954,1.32,1,7657
"z[77,1]",1.885,0.739,0.65,3.1,1,8751
"z[78,1]",-0.439,0.704,-1.592,0.714,1.001,6386
"z[79,1]",0.058,0.686,-1.04,1.188,1.001,7378
"z[80,1]",1.221,0.657,0.13,2.319,1,8845
"z[81,1]",-0.45,0.684,-1.583,0.676,1,9143
"z[82,1]",-0.957,0.69,-2.076,0.199,1.001,3309
"z[83,1]",-0.575,0.733,-1.768,0.626,1,8715
"z[84,1]",-0.794,0.656,-1.885,0.292,1.001,7981
"z[85,1]",0.783,0.662,-0.327,1.872,1,6774
"z[86,1]",0.749,0.68,-0.371,1.86,1,8884
"z[87,1]",-0.091,0.685,-1.224,1.034,1.001,8588
"z[88,1]",1.229,0.663,0.133,2.315,1,7276
"z[89,1]",-0.806,0.673,-1.913,0.299,1,8522
"z[90,1]",0.679,0.738,-0.54,1.88,1,7141
"z[91,1]",0.071,0.793,-1.246,1.37,1,9016
"z[92,1]",-0.405,0.677,-1.503,0.722,1,8937
"z[93,1]",0.186,0.649,-0.873,1.265,1,8451
"z[94,1]",0.62,0.742,-0.585,1.83,1,6774
"z[95,1]",-0.725,0.687,-1.86,0.397,1,8787
"z[96,1]",0.504,0.741,-0.718,1.723,1,8078
"z[97,1]",-0.217,0.725,-1.402,0.98,1,7410
"z[98,1]",0.04,0.69,-1.082,1.177,1,8936
"z[99,1]",0.972,0.67,-0.098,2.07,1,7051
"z[100,1]",1.311,0.7,0.144,2.44,1.001,4991
"z[101,1]",-0.255,0.721,-1.456,0.935,1.001,5898
"z[102,1]",-0.535,0.648,-1.601,0.54,1,9376
"z[103,1]",-0.717,0.644,-1.775,0.351,1,8324
"z[104,1]",-0.355,0.675,-1.459,0.738,1,9044
"z[105,1]",0.528,0.68,-0.595,1.632,1,8015
"z[106,1]",-0.014,0.663,-1.083,1.088,1,7016
"z[107,1]",-0.551,0.659,-1.638,0.542,1.001,6602
"z[108,1]",1.025,0.695,-0.115,2.16,1.001,7211
"z[109,1]",-0.242,0.685,-1.364,0.889,1,8409
"z[110,1]",0.003,0.755,-1.225,1.255,1,7938
"z[111,1]",-0.37,0.678,-1.488,0.736,1,8650
"z[112,1]",-0.671,0.678,-1.782,0.442,1,8334
"z[113,1]",0.499,0.797,-0.788,1.83,1,9252
"z[114,1]",0.246,0.72,-0.943,1.416,1.001,8205
"z[115,1]",0.826,0.719,-0.353,2.01,1.001,8899
"z[116,1]",1.248,0.734,0.016,2.418,1.001,9022
"z[117,1]",-0.455,0.729,-1.662,0.765,1,8665
"z[118,1]",-0.059,0.79,-1.347,1.225,1,9181
"z[119,1]",0.44,0.645,-0.644,1.485,1,7395
"z[120,1]",0.31,0.667,-0.792,1.401,1,8142
"z[121,1]",-0.761,0.644,-1.821,0.291,1,8641
"z[122,1]",-0.206,0.726,-1.394,1,1,9241
"z[123,1]",-0.716,0.751,-1.939,0.535,1,7865
"z[124,1]",-0.374,0.738,-1.59,0.833,1,7105
"z[125,1]",-1.119,0.788,-2.43,0.168,1,8563
"z[126,1]",-0.503,0.682,-1.631,0.606,1,5092
"z[127,1]",-0.303,0.728,-1.478,0.912,1.001,8778
"z[128,1]",1.523,0.743,0.286,2.735,1,8019
"z[129,1]",1.057,0.787,-0.218,2.342,1,9161
"z[130,1]",-0.462,0.679,-1.577,0.647,1,7165
"z[131,1]",-0.527,0.647,-1.619,0.554,1,9082
"z[132,1]",-0.63,0.654,-1.687,0.457,1,7245
"z[133,1]",0.446,0.727,-0.745,1.643,1,5402
"z[134,1]",0.234,0.7,-0.904,1.404,1,7110
